# 1000 /work/03920/tg832193/SME/R0/reports/best1000/SME_LR2-5_R0_seed1_best1000.report
# Layered model 0: value=0.554541
9
0.93415271359706331111 265.38003765024996028 161.59999999999999432 2000
0.71997489441945128341 682.96549192893587588 415.88366808950172526 2000
8.0995757684173916857 996.80673681524513086 424.24292981810071979 2000
6.3685574003907508001 1500 273.82567500549600936 2000
21.471548496277957696 1515 407.6891168409976558 2000
82.20492354180186112 1530.1500000000000909 619.19411081010036924 2000
215.7390514776846544 1545.4515000000001237 711.74766336480900009 2000
462.59393733239363655 3937.8984822224697382 1609.4544878945118853 2200
0 6476.39315505380182 3497.4044257399859816 2200
# Layered model 1: value=0.554557
9
0.93415271359706331111 265.38003765024996028 161.59999999999999432 2000
0.71997489441945128341 682.96549192893587588 415.88366808950172526 2000
8.0995757684173916857 996.80673681524513086 424.24292981810071979 2000
6.3685574003907508001 1500 273.82567500549600936 2000
21.471548496277957696 1515 407.6891168409976558 2000
83.402910869950915185 1530.1500000000000909 619.19411081010036924 2000
214.54106414953562876 1545.4515000000001237 711.74766336480900009 2000
462.59393733239363655 3937.8984822224697382 1609.4544878945118853 2200
0 6476.39315505380182 3497.4044257399859816 2200
# Layered model 2: value=0.554579
9
0.93415271359706331111 265.38003765024996028 161.59999999999999432 2000
0.71997489441945128341 682.96549192893587588 415.88366808950172526 2000
8.0995757684173916857 996.80673681524513086 424.24292981810071979 2000
6.3685574003907508001 1500 273.82567500549600936 2000
21.471548496277957696 1515 407.6891168409976558 2000
82.20492354180186112 1530.1500000000000909 619.19411081010036924 2000
215.7390514776846544 1545.4515000000001237 711.74766336480900009 2000
470.57525454864349967 3937.8984822224697382 1609.4544878945118853 2200
0 6476.39315505380182 3497.4044257399859816 2200
# Layered model 3: value=0.554595
9
0.93415271359706331111 265.38003765024996028 161.59999999999999432 2000
0.71997489441945128341 682.96549192893587588 415.88366808950172526 2000
8.0995757684173916857 996.80673681524513086 424.24292981810071979 2000
6.3685574003907508001 1500 273.82567500549600936 2000
21.471548496277957696 1515 407.6891168409976558 2000
82.20492354180186112 1530.1500000000000909 619.19411081010036924 2000
215.7390514776846544 1545.4515000000001237 711.74766336480900009 2000
462.59393733239363655 3937.8984822224697382 1609.4544878945118853 2200
0 6412.2704505483188768 3497.4044257399859816 2200
# Layered model 4: value=0.554611
9
0.93415271359706331111 265.38003765024996028 161.59999999999999432 2000
0.71997489441945128341 682.96549192893587588 415.88366808950172526 2000
8.0995757684173916857 996.80673681524513086 424.24292981810071979 2000
6.3685574003907508001 1500 273.82567500549600936 2000
21.471548496277957696 1515 407.6891168409976558 2000
83.402910869950915185 1530.1500000000000909 619.19411081010036924 2000
214.54106414953562876 1545.4515000000001237 711.74766336480900009 2000
462.59393733239363655 3937.8984822224697382 1609.4544878945118853 2200
0 6412.2704505483188768 3497.4044257399859816 2200
# Layered model 5: value=0.554615
9
0.93415271359706331111 265.38003765024996028 161.59999999999999432 2000
0.71997489441945128341 682.96549192893587588 415.88366808950172526 2000
8.0995757684173916857 996.80673681524513086 424.24292981810071979 2000
6.3685574003907508001 1500 273.82567500549600936 2000
21.471548496277957696 1515 407.6891168409976558 2000
83.402910869950915185 1530.1500000000000909 619.19411081010036924 2000
214.54106414953562876 1545.4515000000001237 711.74766336480900009 2000
454.69164305887892397 3937.8984822224697382 1609.4544878945118853 2200
0 6476.39315505380182 3497.4044257399859816 2200
# Layered model 6: value=0.554618
9
0.93415271359706331111 265.38003765024996028 161.59999999999999432 2000
0.71997489441945128341 682.96549192893587588 415.88366808950172526 2000
8.0995757684173916857 996.80673681524513086 424.24292981810071979 2000
6.3685574003907508001 1500 273.82567500549600936 2000
21.471548496277957696 1515 407.6891168409976558 2000
83.402910869950915185 1530.1500000000000909 619.19411081010036924 2000
214.54106414953562876 1545.4515000000001237 711.74766336480900009 2000
470.57525454864349967 3937.8984822224697382 1609.4544878945118853 2200
0 6476.39315505380182 3497.4044257399859816 2200
# Layered model 7: value=0.554624
9
0.93415271359706331111 265.38003765024996028 161.59999999999999432 2000
0.71997489441945128341 682.96549192893587588 415.88366808950172526 2000
8.0995757684173916857 996.80673681524513086 424.24292981810071979 2000
6.3685574003907508001 1500 273.82567500549600936 2000
21.471548496277957696 1515 407.6891168409976558 2000
82.20492354180186112 1530.1500000000000909 619.19411081010036924 2000
215.7390514776846544 1545.4515000000001237 711.74766336480900009 2000
454.69164305887892397 3937.8984822224697382 1609.4544878945118853 2200
0 6476.39315505380182 3497.4044257399859816 2200
# Layered model 8: value=0.554632
9
0.93415271359706331111 265.38003765024996028 161.59999999999999432 2000
0.71997489441945128341 682.96549192893587588 415.88366808950172526 2000
8.0995757684173916857 996.80673681524513086 424.24292981810071979 2000
6.3685574003907508001 1500 273.82567500549600936 2000
21.471548496277957696 1515 407.6891168409976558 2000
82.20492354180186112 1530.1500000000000909 619.19411081010036924 2000
215.7390514776846544 1545.4515000000001237 711.74766336480900009 2000
470.57525454864349967 3937.8984822224697382 1609.4544878945118853 2200
0 6412.2704505483188768 3497.4044257399859816 2200
# Layered model 9: value=0.554641
9
0.93415271359706331111 265.38003765024996028 161.59999999999999432 2000
0.71997489441945128341 682.96549192893587588 415.88366808950172526 2000
8.0995757684173916857 996.80673681524513086 424.24292981810071979 2000
6.3685574003907508001 1500 273.82567500549600936 2000
21.471548496277957696 1515 407.6891168409976558 2000
82.20492354180186112 1530.1500000000000909 619.19411081010036924 2000
215.7390514776846544 1545.4515000000001237 711.74766336480900009 2000
439.12100146514836752 3898.9093883390778501 1593.5192949450613469 2200
